file_path,file_name,problem,language,is_plagiarism,cheat_type,original_source
dataset/112A/112A-C/360484727.c,360484727.c,112A,c,0,none,360484727.c
dataset/112A/112A-C/360484727_cheat_comment.c,360484727_cheat_comment.c,112A,c,1,comment,360484727.c
dataset/112A/112A-C/360596168.c,360596168.c,112A,c,0,none,360596168.c
dataset/112A/112A-C/360596168_cheat_rename.c,360596168_cheat_rename.c,112A,c,1,rename,360596168.c
dataset/112A/112A-C/360606571.c,360606571.c,112A,c,0,none,360606571.c
dataset/112A/112A-C/360606571_cheat_format.c,360606571_cheat_format.c,112A,c,1,format,360606571.c
dataset/112A/112A-C/360669619.c,360669619.c,112A,c,0,none,360669619.c
dataset/112A/112A-C/360669619_cheat_header.c,360669619_cheat_header.c,112A,c,1,header,360669619.c
dataset/112A/112A-C/360677420.c,360677420.c,112A,c,0,none,360677420.c
dataset/112A/112A-C/360677420_cheat_combo.c,360677420_cheat_combo.c,112A,c,1,combo,360677420.c
dataset/112A/112A-C++/360643298.cpp,360643298.cpp,112A,cpp,0,none,360643298.cpp
dataset/112A/112A-C++/360643298_cheat_comment.cpp,360643298_cheat_comment.cpp,112A,cpp,1,comment,360643298.cpp
dataset/112A/112A-C++/360644998.cpp,360644998.cpp,112A,cpp,0,none,360644998.cpp
dataset/112A/112A-C++/360644998_cheat_rename.cpp,360644998_cheat_rename.cpp,112A,cpp,1,rename,360644998.cpp
dataset/112A/112A-C++/360645914.cpp,360645914.cpp,112A,cpp,0,none,360645914.cpp
dataset/112A/112A-C++/360645914_cheat_format.cpp,360645914_cheat_format.cpp,112A,cpp,1,format,360645914.cpp
dataset/112A/112A-C++/360646996.cpp,360646996.cpp,112A,cpp,0,none,360646996.cpp
dataset/112A/112A-C++/360646996_cheat_header.cpp,360646996_cheat_header.cpp,112A,cpp,1,header,360646996.cpp
dataset/112A/112A-C++/360647323.cpp,360647323.cpp,112A,cpp,0,none,360647323.cpp
dataset/112A/112A-C++/360647323_cheat_combo.cpp,360647323_cheat_combo.cpp,112A,cpp,1,combo,360647323.cpp
dataset/112A/112A-Python/360628330.py,360628330.py,112A,python,0,none,360628330.py
dataset/112A/112A-Python/360628330_cheat_comment.py,360628330_cheat_comment.py,112A,python,1,comment,360628330.py
dataset/112A/112A-Python/360631645.py,360631645.py,112A,python,0,none,360631645.py
dataset/112A/112A-Python/360631645_cheat_rename.py,360631645_cheat_rename.py,112A,python,1,rename,360631645.py
dataset/112A/112A-Python/360634777.py,360634777.py,112A,python,0,none,360634777.py
dataset/112A/112A-Python/360634777_cheat_format.py,360634777_cheat_format.py,112A,python,1,format,360634777.py
dataset/112A/112A-Python/360642090.py,360642090.py,112A,python,0,none,360642090.py
dataset/112A/112A-Python/360642090_cheat_header.py,360642090_cheat_header.py,112A,python,1,header,360642090.py
