file_1,file_2,problem,pair_type,ground_truth
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360506472_cheat_comment.c,71A,base_variant,1
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360643322_cheat_rename.c,71A,base_variant,1
dataset/71A/71A-C/360660853.c,dataset/71A/71A-C/360660853_cheat_format.c,71A,base_variant,1
dataset/71A/71A-C/360662342.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,base_variant,1
dataset/71A/71A-C/360666968.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,base_variant,1
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360542395_cheat_comment.cpp,71A,base_variant,1
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360562026_cheat_rename.cpp,71A,base_variant,1
dataset/71A/71A-C++/360568900.cpp,dataset/71A/71A-C++/360568900_cheat_format.cpp,71A,base_variant,1
dataset/71A/71A-C++/360583506.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,base_variant,1
dataset/71A/71A-C++/360587333.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,base_variant,1
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360487916_cheat_comment.py,71A,base_variant,1
dataset/71A/71A-Python/360565720.py,dataset/71A/71A-Python/360565720_cheat_rename.py,71A,base_variant,1
dataset/71A/71A-Python/360581621.py,dataset/71A/71A-Python/360581621_cheat_format.py,71A,base_variant,1
dataset/71A/71A-Python/360584252.py,dataset/71A/71A-Python/360584252_cheat_header.py,71A,base_variant,1
dataset/71A/71A-Python/360643042.py,dataset/71A/71A-Python/360643042_cheat_combo.py,71A,base_variant,1
dataset/50A/50A-C/360087148.c,dataset/50A/50A-C/360087148_cheat_comment.c,50A,base_variant,1
dataset/50A/50A-C/360549037.c,dataset/50A/50A-C/360549037_cheat_rename.c,50A,base_variant,1
dataset/50A/50A-C/360604153.c,dataset/50A/50A-C/360604153_cheat_format.c,50A,base_variant,1
dataset/50A/50A-C/360635874.c,dataset/50A/50A-C/360635874_cheat_header.c,50A,base_variant,1
dataset/50A/50A-C/360689578.c,dataset/50A/50A-C/360689578_cheat_combo.c,50A,base_variant,1
dataset/50A/50A-C++/360642582.cpp,dataset/50A/50A-C++/360642582_cheat_comment.cpp,50A,base_variant,1
dataset/50A/50A-C++/360643763.cpp,dataset/50A/50A-C++/360643763_cheat_rename.cpp,50A,base_variant,1
dataset/50A/50A-C++/360645853.cpp,dataset/50A/50A-C++/360645853_cheat_format.cpp,50A,base_variant,1
dataset/50A/50A-C++/360647278.cpp,dataset/50A/50A-C++/360647278_cheat_header.cpp,50A,base_variant,1
dataset/50A/50A-C++/360647840.cpp,dataset/50A/50A-C++/360647840_cheat_combo.cpp,50A,base_variant,1
dataset/50A/50A-Python/360624338.py,dataset/50A/50A-Python/360624338_cheat_comment.py,50A,base_variant,1
dataset/50A/50A-Python/360627256.py,dataset/50A/50A-Python/360627256_cheat_rename.py,50A,base_variant,1
dataset/50A/50A-Python/360627627.py,dataset/50A/50A-Python/360627627_cheat_format.py,50A,base_variant,1
dataset/50A/50A-Python/360628426.py,dataset/50A/50A-Python/360628426_cheat_header.py,50A,base_variant,1
dataset/50A/50A-Python/360634289.py,dataset/50A/50A-Python/360634289_cheat_combo.py,50A,base_variant,1
